Designator,Mid X,Mid Y,Rotation,Layer
C1,10.0,23.0,90.0,bottom
C10,13.0,23.0,270.0,bottom
C2,25.05,23.0,180.0,bottom
C3,26.0,10.0,270.0,bottom
C4,5.0,5.0,270.0,bottom
C5,10.0,18.0,180.0,bottom
C6,11.0,15.0,270.0,bottom
C7,15.0,20.0,90.0,bottom
C8,21.0,10.0,270.0,bottom
C9,12.0,20.0,180.0,bottom
D1,10.4,26.0,180.0,bottom
D2,22.05,26.0,0.0,bottom
D3,25.0,7.0,180.0,bottom
D4,19.0,4.0,0.0,bottom
J1,7.6025,18.38,90.0,top
J2,23.6025,18.38,90.0,top
J3,10.0,9.0,225.0,bottom
Q1,6.0,23.0,180.0,bottom
Q2,25.1125,18.05,180.0,bottom
Q3,25.0,14.0,0.0,bottom
Q4,6.0,17.0,180.0,bottom
R1,6.0,20.0,180.0,bottom
R10,21.100001,17.0,180.0,bottom
R11,21.0,23.0,180.0,bottom
R12,21.05,14.0,90.0,bottom
R13,18.05,20.050001,270.0,bottom
R2,25.100001,21.0,180.0,bottom
R3,24.0,10.0,270.0,bottom
R4,20.0,7.0,0.0,bottom
R5,17.0,9.0,180.0,bottom
R6,19.05,14.050001,270.0,bottom
R7,17.0,23.0,180.0,bottom
R8,13.0,22.0,270.0,top
R9,17.0,22.0,90.0,top
U2,15.3,14.75,0.0,bottom
U3,21.25,20.025,90.0,bottom
